id,season,gameType,venue,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,tvBroadcasts,awayTeam,homeTeam,periodDescriptor,gameOutcome,winningGoalie,winningGoalScorer,threeMinRecap,threeMinRecapFr,gameCenterLink,condensedGame,condensedGameFr,specialEvent,ticketsLink,ticketsLinkFr
2025020001,20252026,2,{'default': 'Amerant Bank Arena'},FALSE,2025-10-07T21:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,"[{'id': 309, 'market': 'N', 'countryCode': 'US', 'network': 'ESPN', 'sequenceNumber': 10}, {'id': 284, 'market': 'N', 'countryCode': 'CA', 'network': 'SN1', 'sequenceNumber': 113}, {'id': 281, 'market': 'N', 'countryCode': 'CA', 'network': 'TVAS', 'sequenceNumber': 120}]","{'id': 16, 'commonName': {'default': 'Blackhawks'}, 'placeName': {'default': 'Chicago'}, 'placeNameWithPreposition': {'default': 'Chicago', 'fr': 'de Chicago'}, 'abbrev': 'CHI', 'logo': 'https://assets.nhle.com/logos/nhl/svg/CHI_light.svg?season=20252026', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg?season=20252026', 'awaySplitSquad': False, 'score': 2}","{'id': 13, 'commonName': {'default': 'Panthers'}, 'placeName': {'default': 'Florida', 'fr': 'Floride'}, 'placeNameWithPreposition': {'default': 'Florida', 'fr': 'de la Floride'}, 'abbrev': 'FLA', 'logo': 'https://assets.nhle.com/logos/nhl/svg/FLA_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg', 'homeSplitSquad': False, 'score': 3}","{'number': 3, 'periodType': 'REG', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'REG'},"{'playerId': 8475683, 'firstInitial': {'default': 'S.'}, 'lastName': {'default': 'Bobrovsky', 'cs': 'Bobrovskij', 'fi': 'Bobrovski', 'sk': 'Bobrovskij'}}","{'playerId': 8480003, 'firstInitial': {'default': 'J.'}, 'lastName': {'default': 'Boqvist'}}",/video/chi-at-fla-recap-6382227954112,/fr/video/chi-vs-fla-07-10-2025-resume-6382227858112,/gamecenter/chi-vs-fla/2025/10/07/2025020001,,,,,
2025020002,20252026,2,{'default': 'Madison Square Garden'},FALSE,2025-10-08T00:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,"[{'id': 309, 'market': 'N', 'countryCode': 'US', 'network': 'ESPN', 'sequenceNumber': 10}, {'id': 284, 'market': 'N', 'countryCode': 'CA', 'network': 'SN1', 'sequenceNumber': 113}, {'id': 281, 'market': 'N', 'countryCode': 'CA', 'network': 'TVAS', 'sequenceNumber': 120}]","{'id': 5, 'commonName': {'default': 'Penguins'}, 'placeName': {'default': 'Pittsburgh'}, 'placeNameWithPreposition': {'default': 'Pittsburgh', 'fr': 'de Pittsburgh'}, 'abbrev': 'PIT', 'logo': 'https://assets.nhle.com/logos/nhl/svg/PIT_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg', 'awaySplitSquad': False, 'score': 3}","{'id': 3, 'commonName': {'default': 'Rangers'}, 'placeName': {'default': 'New York'}, 'placeNameWithPreposition': {'default': 'New York', 'fr': 'de New York'}, 'abbrev': 'NYR', 'logo': 'https://assets.nhle.com/logos/nhl/svg/NYR_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg', 'homeSplitSquad': False, 'score': 0}","{'number': 3, 'periodType': 'REG', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'REG'},"{'playerId': 8481668, 'firstInitial': {'default': 'A.'}, 'lastName': {'default': 'Silovs', 'cs': 'Šilovs', 'sk': 'Šilovs'}}","{'playerId': 8479638, 'firstInitial': {'default': 'J.'}, 'lastName': {'default': 'Brazeau'}}",/video/pit-at-nyr-recap-6382236256112,/fr/video/pit-vs-nyr-07-10-2025-resume-6382237526112,/gamecenter/pit-vs-nyr/2025/10/07/2025020002,/video/pit-at-nyr-condensed-game-6382237336112,/fr/video/match-condense-penguins-rangers-07-10-2025-6382238500112,,,
2025020003,20252026,2,{'default': 'Crypto.com Arena'},FALSE,2025-10-08T02:30:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,"[{'id': 309, 'market': 'N', 'countryCode': 'US', 'network': 'ESPN', 'sequenceNumber': 10}, {'id': 284, 'market': 'N', 'countryCode': 'CA', 'network': 'SN1', 'sequenceNumber': 113}, {'id': 281, 'market': 'N', 'countryCode': 'CA', 'network': 'TVAS', 'sequenceNumber': 120}]","{'id': 21, 'commonName': {'default': 'Avalanche'}, 'placeName': {'default': 'Colorado'}, 'placeNameWithPreposition': {'default': 'Colorado', 'fr': 'du Colorado'}, 'abbrev': 'COL', 'logo': 'https://assets.nhle.com/logos/nhl/svg/COL_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/COL_dark.svg', 'awaySplitSquad': False, 'score': 4}","{'id': 26, 'commonName': {'default': 'Kings'}, 'placeName': {'default': 'Los Angeles'}, 'placeNameWithPreposition': {'default': 'Los Angeles', 'fr': 'de Los Angeles'}, 'abbrev': 'LAK', 'logo': 'https://assets.nhle.com/logos/nhl/svg/LAK_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg', 'homeSplitSquad': False, 'score': 1}","{'number': 3, 'periodType': 'REG', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'REG'},"{'playerId': 8475809, 'firstInitial': {'default': 'S.'}, 'lastName': {'default': 'Wedgewood'}}","{'playerId': 8484258, 'firstInitial': {'default': 'S.'}, 'lastName': {'default': 'Malinski'}}",/video/col-at-lak-recap-6382249040112,/fr/video/col-vs-lak-07-10-2025-resume-6382248342112,/gamecenter/col-vs-lak/2025/10/07/2025020003,,/fr/video/match-condense-avalanche-kings-07-10-2025-6382249135112,,,
2025020004,20252026,2,{'default': 'Scotiabank Arena'},FALSE,2025-10-08T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,"[{'id': 284, 'market': 'N', 'countryCode': 'CA', 'network': 'SN1', 'sequenceNumber': 113}, {'id': 281, 'market': 'N', 'countryCode': 'CA', 'network': 'TVAS', 'sequenceNumber': 120}]","{'id': 8, 'commonName': {'default': 'Canadiens'}, 'placeName': {'default': 'Montréal'}, 'placeNameWithPreposition': {'default': 'Montréal', 'fr': 'de Montréal'}, 'abbrev': 'MTL', 'logo': 'https://assets.nhle.com/logos/nhl/svg/MTL_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg', 'awaySplitSquad': False, 'score': 2}","{'id': 10, 'commonName': {'default': 'Maple Leafs'}, 'placeName': {'default': 'Toronto'}, 'placeNameWithPreposition': {'default': 'Toronto', 'fr': 'de Toronto'}, 'abbrev': 'TOR', 'logo': 'https://assets.nhle.com/logos/nhl/svg/TOR_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg', 'homeSplitSquad': False, 'score': 5}","{'number': 3, 'periodType': 'REG', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'REG'},"{'playerId': 8476932, 'firstInitial': {'default': 'A.'}, 'lastName': {'default': 'Stolarz'}}","{'playerId': 8476853, 'firstInitial': {'default': 'M.'}, 'lastName': {'default': 'Rielly'}}",/video/mtl-at-tor-recap-6382420464112,/fr/video/mtl-vs-tor-08-10-2025-resume-6382421106112,/gamecenter/mtl-vs-tor/2025/10/08/2025020004,,/fr/video/match-condense-canadiens-maple-leafs-08-10-2025-6382421350112,,,
2025020005,20252026,2,{'default': 'Capital One Arena'},FALSE,2025-10-08T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,"[{'id': 385, 'market': 'N', 'countryCode': 'US', 'network': 'TNT', 'sequenceNumber': 11}, {'id': 578, 'market': 'N', 'countryCode': 'US', 'network': 'HBO MAX', 'sequenceNumber': 19}]","{'id': 6, 'commonName': {'default': 'Bruins'}, 'placeName': {'default': 'Boston'}, 'placeNameWithPreposition': {'default': 'Boston', 'fr': 'de Boston'}, 'abbrev': 'BOS', 'logo': 'https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg?season=20252026', 'awaySplitSquad': False, 'score': 3}","{'id': 15, 'commonName': {'default': 'Capitals'}, 'placeName': {'default': 'Washington'}, 'placeNameWithPreposition': {'default': 'Washington', 'fr': 'de Washington'}, 'abbrev': 'WSH', 'logo': 'https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/WSH_secondary_dark.svg', 'homeSplitSquad': False, 'score': 1}","{'number': 3, 'periodType': 'REG', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'REG'},"{'playerId': 8480280, 'firstInitial': {'default': 'J.'}, 'lastName': {'default': 'Swayman'}}","{'playerId': 8477496, 'firstInitial': {'default': 'E.'}, 'lastName': {'default': 'Lindholm'}}",/video/bos-at-wsh-recap-6382425204112,,/gamecenter/bos-vs-wsh/2025/10/08/2025020005,,,,,
2025020006,20252026,2,{'default': 'Rogers Place'},FALSE,2025-10-09T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,"[{'id': 284, 'market': 'N', 'countryCode': 'CA', 'network': 'SN1', 'sequenceNumber': 113}, {'id': 281, 'market': 'N', 'countryCode': 'CA', 'network': 'TVAS', 'sequenceNumber': 120}]","{'id': 20, 'commonName': {'default': 'Flames'}, 'placeName': {'default': 'Calgary'}, 'placeNameWithPreposition': {'default': 'Calgary', 'fr': 'de Calgary'}, 'abbrev': 'CGY', 'logo': 'https://assets.nhle.com/logos/nhl/svg/CGY_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg', 'awaySplitSquad': False, 'score': 4}","{'id': 22, 'commonName': {'default': 'Oilers'}, 'placeName': {'default': 'Edmonton'}, 'placeNameWithPreposition': {'default': 'Edmonton', 'fr': ""d'Edmonton""}, 'abbrev': 'EDM', 'logo': 'https://assets.nhle.com/logos/nhl/svg/EDM_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/EDM_dark.svg', 'homeSplitSquad': False, 'score': 3}","{'number': 5, 'periodType': 'SO', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'SO'},"{'playerId': 8481692, 'firstInitial': {'default': 'D.'}, 'lastName': {'default': 'Wolf'}}",,/video/cgy-at-edm-recap-6382458058112,/fr/video/cgy-vs-edm-08-10-2025-resume-6382456171112,/gamecenter/cgy-vs-edm/2025/10/08/2025020006,/video/cgy-at-edm-condensed-game-6382457194112,/fr/video/match-condense-flames-oilers-08-10-2025-6382456293112,,,
2025020007,20252026,2,{'default': 'T-Mobile Arena'},FALSE,2025-10-09T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,"[{'id': 385, 'market': 'N', 'countryCode': 'US', 'network': 'TNT', 'sequenceNumber': 11}, {'id': 578, 'market': 'N', 'countryCode': 'US', 'network': 'HBO MAX', 'sequenceNumber': 19}]","{'id': 26, 'commonName': {'default': 'Kings'}, 'placeName': {'default': 'Los Angeles'}, 'placeNameWithPreposition': {'default': 'Los Angeles', 'fr': 'de Los Angeles'}, 'abbrev': 'LAK', 'logo': 'https://assets.nhle.com/logos/nhl/svg/LAK_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg', 'awaySplitSquad': False, 'score': 6}","{'id': 54, 'commonName': {'default': 'Golden Knights'}, 'placeName': {'default': 'Vegas'}, 'placeNameWithPreposition': {'default': 'Vegas', 'fr': 'de Vegas'}, 'abbrev': 'VGK', 'logo': 'https://assets.nhle.com/logos/nhl/svg/VGK_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/VGK_dark.svg', 'homeSplitSquad': False, 'score': 5}","{'number': 5, 'periodType': 'SO', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'SO'},"{'playerId': 8476341, 'firstInitial': {'default': 'A.'}, 'lastName': {'default': 'Forsberg'}}",,/video/lak-at-vgk-recap-6382465769112,/fr/video/lak-vs-vgk-08-10-2025-resume-6382467732112,/gamecenter/lak-vs-vgk/2025/10/08/2025020007,/video/lak-at-vgk-condensed-game-6382470408112,/fr/video/match-condense-kings-golden-knights-08-10-2025-6382456847112,,,
2025020008,20252026,2,{'default': 'TD Garden'},FALSE,2025-10-09T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,"[{'id': 282, 'market': 'N', 'countryCode': 'CA', 'network': 'SN', 'sequenceNumber': 21}, {'id': 551, 'market': 'A', 'countryCode': 'US', 'network': 'CHSN', 'sequenceNumber': 254}, {'id': 31, 'market': 'H', 'countryCode': 'US', 'network': 'NESN', 'sequenceNumber': 405}]","{'id': 16, 'commonName': {'default': 'Blackhawks'}, 'placeName': {'default': 'Chicago'}, 'placeNameWithPreposition': {'default': 'Chicago', 'fr': 'de Chicago'}, 'abbrev': 'CHI', 'logo': 'https://assets.nhle.com/logos/nhl/svg/CHI_light.svg?season=20252026', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg?season=20252026', 'awaySplitSquad': False, 'score': 3}","{'id': 6, 'commonName': {'default': 'Bruins'}, 'placeName': {'default': 'Boston'}, 'placeNameWithPreposition': {'default': 'Boston', 'fr': 'de Boston'}, 'abbrev': 'BOS', 'logo': 'https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg?season=20252026', 'homeSplitSquad': False, 'score': 4}","{'number': 4, 'periodType': 'OT', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'OT'},"{'playerId': 8476914, 'firstInitial': {'default': 'J.'}, 'lastName': {'default': 'Korpisalo'}}","{'playerId': 8483489, 'firstInitial': {'default': 'F.'}, 'lastName': {'default': 'Minten'}}",/video/chi-at-bos-recap-6382535026112,/fr/video/chi-vs-bos-09-10-2025-resume-6382532479112,/gamecenter/chi-vs-bos/2025/10/09/2025020008,/video/chi-at-bos-condensed-game-6382534147112,/fr/video/match-condense-blackhawks-bruins-09-10-2025-6382534740112,,,
2025020009,20252026,2,{'default': 'KeyBank Center'},FALSE,2025-10-09T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,"[{'id': 28, 'market': 'H', 'countryCode': 'US', 'network': 'MSG-B', 'sequenceNumber': 392}, {'id': 27, 'market': 'A', 'countryCode': 'US', 'network': 'MSG', 'sequenceNumber': 417}]","{'id': 3, 'commonName': {'default': 'Rangers'}, 'placeName': {'default': 'New York'}, 'placeNameWithPreposition': {'default': 'New York', 'fr': 'de New York'}, 'abbrev': 'NYR', 'logo': 'https://assets.nhle.com/logos/nhl/svg/NYR_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg', 'awaySplitSquad': False, 'score': 4}","{'id': 7, 'commonName': {'default': 'Sabres'}, 'placeName': {'default': 'Buffalo'}, 'placeNameWithPreposition': {'default': 'Buffalo', 'fr': 'de Buffalo'}, 'abbrev': 'BUF', 'logo': 'https://assets.nhle.com/logos/nhl/svg/BUF_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/BUF_dark.svg', 'homeSplitSquad': False, 'score': 0}","{'number': 3, 'periodType': 'REG', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'REG'},"{'playerId': 8478048, 'firstInitial': {'default': 'I.'}, 'lastName': {'default': 'Shesterkin', 'cs': 'Šesťorkin', 'fi': 'Shestjorkin', 'sk': 'Šesťorkin'}}","{'playerId': 8482109, 'firstInitial': {'default': 'A.'}, 'lastName': {'default': 'Lafrenière'}}",/video/nyr-at-buf-recap-6382532489112,/fr/video/nyr-vs-buf-09-10-2025-resume-6382534542112,/gamecenter/nyr-vs-buf/2025/10/09/2025020009,/video/nyr-at-buf-condensed-game-6382533389112,,,,
2025020010,20252026,2,{'default': 'Little Caesars Arena'},FALSE,2025-10-09T23:00:00Z,-04:00,-04:00,America/Detroit,OFF,OK,"[{'id': 131, 'market': 'A', 'countryCode': 'CA', 'network': 'TSN2', 'sequenceNumber': 112}, {'id': 33, 'market': 'A', 'countryCode': 'CA', 'network': 'RDS', 'sequenceNumber': 145}, {'id': 562, 'market': 'H', 'countryCode': 'US', 'network': 'FDSNDET', 'sequenceNumber': 282}]","{'id': 8, 'commonName': {'default': 'Canadiens'}, 'placeName': {'default': 'Montréal'}, 'placeNameWithPreposition': {'default': 'Montréal', 'fr': 'de Montréal'}, 'abbrev': 'MTL', 'logo': 'https://assets.nhle.com/logos/nhl/svg/MTL_light.svg', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg', 'awaySplitSquad': False, 'score': 5}","{'id': 17, 'commonName': {'default': 'Red Wings'}, 'placeName': {'default': 'Detroit'}, 'placeNameWithPreposition': {'default': 'Detroit', 'fr': 'de Detroit'}, 'abbrev': 'DET', 'logo': 'https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026', 'darkLogo': 'https://assets.nhle.com/logos/nhl/svg/DET_dark.svg?season=20252026', 'homeSplitSquad': False, 'score': 1}","{'number': 3, 'periodType': 'REG', 'maxRegulationPeriods': 3}",{'lastPeriodType': 'REG'},"{'playerId': 8482487, 'firstInitial': {'default': 'J.'}, 'lastName': {'default': 'Dobes'}}","{'playerId': 8482775, 'firstInitial': {'default': 'O.'}, 'lastName': {'default': 'Kapanen'}}",/video/mtl-at-det-recap-6382532246112,/fr/video/mtl-vs-det-09-10-2025-resume-6382531761112,/gamecenter/mtl-vs-det/2025/10/09/2025020010,/video/mtl-at-det-condensed-game-6382534209112,/fr/video/match-condense-canadiens-red-wings-09-10-2025-6382531173112,,,
