id,season,gameType,startTimeUTC,venueTimezone,venue,awayTeamName,homeTeamName,awayTeamScore,homeTeamScore,lastPeriod,homeTeamPrev10Wins,homeTeamPrev10Losses,homeTeamPrev10OTLs,awayTeamPrev10Wins,awayTeamPrev10Losses,awayTeamPrev10OTLs
2021020001,20212022,2,2021-10-12T23:30:00Z,US/Eastern,Amalie Arena,Pittsburgh Penguins,Tampa Bay Lightning,6.0,2.0,REG,0,0,0,0,0,0
2021020002,20212022,2,2021-10-13T02:00:00Z,US/Pacific,T-Mobile Arena,Seattle Kraken,Vegas Golden Knights,3.0,4.0,REG,0,0,0,0,0,0
2021020003,20212022,2,2021-10-13T23:00:00Z,America/Toronto,Scotiabank Arena,Montréal Canadiens,Toronto Maple Leafs,1.0,2.0,REG,0,0,0,0,0,0
2021020004,20212022,2,2021-10-13T23:30:00Z,US/Eastern,Capital One Arena,New York Rangers,Washington Capitals,1.0,5.0,REG,0,0,0,0,0,0
2021020005,20212022,2,2021-10-14T02:00:00Z,America/Denver,Ball Arena,Chicago Blackhawks,Colorado Avalanche,2.0,4.0,REG,0,0,0,0,0,0
2021020006,20212022,2,2021-10-14T02:00:00Z,America/Edmonton,Rogers Place,Vancouver Canucks,Edmonton Oilers,2.0,3.0,SO,0,0,0,0,0,0
2021020015,20212022,2,2021-10-14T02:00:00Z,America/Los_Angeles,Honda Center,Winnipeg Jets,Anaheim Ducks,1.0,4.0,REG,0,0,0,0,0,0
2021020007,20212022,2,2021-10-14T23:00:00Z,America/New_York,KeyBank Center,Montréal Canadiens,Buffalo Sabres,1.0,5.0,REG,0,0,0,0,1,0
2021020008,20212022,2,2021-10-14T23:00:00Z,US/Eastern,Canadian Tire Centre,Toronto Maple Leafs,Ottawa Senators,2.0,3.0,REG,0,0,0,1,0,0
2021020010,20212022,2,2021-10-14T23:00:00Z,US/Eastern,FLA Live Arena,Pittsburgh Penguins,Florida Panthers,4.0,5.0,OT,0,0,0,1,0,0
2021020011,20212022,2,2021-10-14T23:00:00Z,America/New_York,Madison Square Garden,Dallas Stars,New York Rangers,3.0,2.0,OT,0,1,0,0,0,0
2021020012,20212022,2,2021-10-14T23:00:00Z,US/Eastern,PNC Arena,New York Islanders,Carolina Hurricanes,3.0,6.0,REG,0,0,0,0,0,0
2021020013,20212022,2,2021-10-14T23:00:00Z,US/Eastern,Nationwide Arena,Arizona Coyotes,Columbus Blue Jackets,2.0,8.0,REG,0,0,0,0,0,0
2021020009,20212022,2,2021-10-14T23:30:00Z,America/Detroit,Little Caesars Arena,Tampa Bay Lightning,Detroit Red Wings,7.0,6.0,OT,0,0,0,0,1,0
2021020014,20212022,2,2021-10-15T00:00:00Z,US/Central,Bridgestone Arena,Seattle Kraken,Nashville Predators,4.0,3.0,REG,0,0,0,0,1,0
2021020016,20212022,2,2021-10-15T02:30:00Z,America/Los_Angeles,STAPLES Center,Vegas Golden Knights,Los Angeles Kings,2.0,6.0,REG,0,0,0,1,0,0
2021020017,20212022,2,2021-10-15T23:00:00Z,US/Eastern,Prudential Center,Chicago Blackhawks,New Jersey Devils,3.0,4.0,OT,0,0,0,0,1,0
2021020018,20212022,2,2021-10-15T23:00:00Z,US/Eastern,Wells Fargo Center,Vancouver Canucks,Philadelphia Flyers,5.0,4.0,SO,0,0,0,0,0,1
2021020019,20212022,2,2021-10-16T02:00:00Z,America/Los_Angeles,Honda Center,Minnesota Wild,Anaheim Ducks,2.0,1.0,REG,1,0,0,0,0,0
