venue,venue_lat,venue_long
Amerant Bank Arena,26.1583702,-80.3254289
Madison Square Garden,40.7505129,-73.9935159
Crypto.com Arena,34.0429979,-118.2671352
Scotiabank Arena,43.6434338,-79.3790777
Capital One Arena,38.8981883,-77.0209378
Rogers Place,53.5467936,-113.4977946
T-Mobile Arena,36.102678,-115.1782239
TD Garden,42.3662986,-71.0621622
KeyBank Center,42.8751467,-78.8766359
Little Caesars Arena,42.3409774,-83.0549545
Benchmark International Arena,27.942704,-82.4518903
PPG Paints Arena,40.4395912,-79.9895408
Lenovo Center,35.803398,-78.7219166
Enterprise Center,38.6268005,-90.20262
Bridgestone Arena,36.1589806,-86.7783819
Canada Life Centre,49.8925939,-97.1437389
Ball Arena,39.7486838,-105.007544
Rogers Arena,49.2779085,-123.1089417
SAP Center at San Jose,37.3328604,-121.9012247
Climate Pledge Arena,47.6219014,-122.3539905
Scotiabank Saddledome,51.0374124,-114.0519642
UBS Arena,40.7116942,-73.7259229
United Center,41.8806831,-87.6741851
Grand Casino Arena,44.9447659,-93.1010851
Canadian Tire Centre,45.2969069,-75.9268973
Xfinity Mobile Arena,39.9011004,-75.1720165
Nationwide Arena,39.9691873,-83.00608
Centre Bell,45.4960358,-73.5692029
American Airlines Center,32.7905076,-96.8102721
Honda Center,33.8078316,-117.876534
Delta Center,40.7683274,-111.9010551
Prudential Center,40.7334302,-74.1711482
Avicii Arena,59.2936201,18.0832132
loanDepot park,25.7780733,-80.219554
Raymond James Stadium,27.9759793,-82.5033545
